Agency,ErrorStrike,SemiMajor90,SemiMinor90,cluster_flag,cluster_index,comment,day,depth,depthError,eventID,flag,hour,latitude,longitude,magnitude,magnitudeType,minute,month,second,sigmaMagnitude,timeError,year
GSHAP_TR,,,,0,0,,12,999.0,,44872,,1,37.600000000000001,34.5,6.2000000000000002,MW,1,1,1.0,0.0,,1907
GSHAP_TR,,,,0,54,,22,999.0,,45237,,17,33.600000000000001,35.299999999999997,5.7000000000000002,MW,40,6,1.0,0.0,,1907
KOERI,,,,0,13,,1,5.0,,68366,,0,37.600000000000001,34.5,6.5999999999999996,MD,0,12,1.0,0.29999999999999999,,1907
EMEC,,,,0,0,,17,5.0,,7408,,3,37.399999999999999,35.799999999999997,6.5999999999999996,MD,0,2,1.0,0.29999999999999999,,1908
EMEC,,,,0,0,,30,30.0,,7467,,11,37.600000000000001,36.799999999999997,5.5,MW,30,10,1.0,0.0,,1908
EMEC,,,,0,79,,20,999.0,,7654,,1,36.799999999999997,34.600000000000001,5.4000000000000004,MW,1,3,1.0,0.0,,1910
GII,,,,0,0,,10,10.0,,41194,,19,33.816400000000002,35.900599999999997,4.9000000000000004,MB,24,7,0.0,0.26266666666666666,,1910
EMEC,,,,0,0,,5,999.0,,7718,,1,30.0,31.300000000000001,4.4000000000000004,MW,59,1,1.0,0.0,,1911
EMEC,,,,0,0,,26,999.0,,7725,,17,28.0,33.700000000000003,4.9000000000000004,MW,35,1,1.0,0.0,,1911
EMEC,,,,0,0,,30,180.0,,7766,,20,36.0,30.0,6.0,MW,42,4,1.0,0.0,,1911
EMEC,,,,0,0,,22,999.0,,7798,,20,28.800000000000001,32.600000000000001,4.9000000000000004,MW,23,8,1.0,0.0,,1911
EMEC,,,,0,0,,29,999.0,,7849,,0,35.600000000000001,35.799999999999997,4.7000000000000002,MW,45,3,1.0,0.0,,1912
GII,,,,0,0,,13,10.0,,41196,,13,34.015700000000002,35.6965,4.5,MD,25,11,0.0,0.29999999999999999,,1913
ISC-GEM,,,,0,9,,3,15.0,,58903,,22,37.628999999999998,30.021000000000001,7.0,MW,7,10,7.3600000000000003,0.0,,1914
EMEC,,,,0,0,,19,10.0,,8138,,4,37.619999999999997,39.469999999999999,5.5,MW,48,5,1.0,0.0,,1915
EMEC,,,,0,0,,25,10.0,,8204,,6,36.469999999999999,36.140000000000001,5.4000000000000004,MW,6,12,1.0,0.0,,1915
GII,,,,0,14,,29,10.0,,41197,,12,35.239600000000003,36.077199999999998,6.5999999999999996,MB,7,9,0.0,0.26266666666666666,,1918
AM93,,,,0,0,,29,999.0,,63,,12,35.100000000000001,34.799999999999997,6.2999999999999998,MS,7,9,20.0,0.20000000000000001,,1918
EMEC,,,,0,0,,1,999.0,,8492,,2,29.5,31.300000000000001,4.9000000000000004,MW,10,10,1.0,0.0,,1918
AM93,,,,0,42,,19,30.0,,64,,20,35.200000000000003,34.700000000000003,5.9000000000000004,MS,17,8,20.0,0.17000000000000001,,1919
EMEC,,,,0,0,,1,999.0,,8658,,2,29.5,31.300000000000001,4.7999999999999998,MW,10,10,1.0,0.0,,1920
AM93,,,,0,0,,5,999.0,,65,,19,36.0,35.5,5.5999999999999996,MS,9,2,45.0,0.17000000000000001,,1921
AM93,,,,0,0,,20,999.0,,66,,16,34.600000000000001,34.0,5.7999999999999998,MS,4,4,10.0,0.17000000000000001,,1921
GII,,,,0,0,,20,10.0,,41199,,16,33.996699999999997,32.997999999999998,5.2999999999999998,MB,4,4,20.0,0.26266666666666666,,1921
GII,,,,0,0,,21,10.0,,41200,,8,32.997500000000002,35.4983,4.0999999999999996,MB,0,4,0.0,0.26266666666666666,,1921
EMEC,,,,0,58,,5,33.0,,8767,,19,36.399999999999999,35.200000000000003,5.7000000000000002,MW,9,10,1.0,0.0,,1921
GII,,,,0,0,,2,10.0,,41201,,0,34.728099999999998,34.783499999999997,5.4000000000000004,MB,47,4,0.0,0.26266666666666666,,1922
EMEC,,,,0,0,,18,999.0,,8816,,19,28.800000000000001,32.0,4.9000000000000004,MW,38,6,1.0,0.0,,1922
